StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,PID,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,ProtectYourself,AmazonHP,email_IRS,web_IRS,apple,amazon_Product,email_mcafee,GetProtected,Employment,TotalIncome,Race,Education,Age_1,Gender,RedCross,SSA_HP,mySSA,AmazonDeliveryDelay,FB_SSA,ssa_optout,replacementCard,WalmartProduct,Previous Fraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,surveyArm,PROLIFIC_PID
4/19/2022 21:31,4/19/2022 21:56,100,1508,TRUE,4/19/2022 21:56,R_1IxWqjamCfxorGD,,,,,anonymous,EN,Yes,Chrome,100.0.4896.127,Windows NT 10.0,1920x1080,5d4ecfd93273de0019663e6b,Some,Angry,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Disagree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Once a month,Real,Real,Scam,Real,Real,Real,Real,Real,"Employed, working 1-29 hours per week","$40,000 - $59,999","White or Caucasian (Non-Hispanic),Asian American or Asian,Hispanic,African American or African (Non-Hispanic)","High school degree or equivalent (e.g., GED)",25,Female,Scam,Real,Real,Real,Scam,Real,Real,Real,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",arm4_interactive,5d4ecfd93273de0019663e6b
4/19/2022 21:56,4/19/2022 22:01,100,288,TRUE,4/19/2022 22:01,R_8BNyuyxoHC4LeLv,,,,,anonymous,EN,Yes,Safari,15.4,Macintosh,1024x1366,5d1e48cb33a4d3001b08a320,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Disagree,Slightly Disagree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Agree,Slightly Agree,Agree,Once a month,,,,,,,,,"Not employed, NOT looking for work","$150,000 or more",Asian American or Asian,Bachelor degree,22,Female,Real,Real,Scam,Real,Real,Real,Real,Real,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",No,,No,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",arm3_tips,5d1e48cb33a4d3001b08a320
4/19/2022 22:07,4/19/2022 22:32,100,1509,TRUE,4/19/2022 22:32,R_3NWkn5mghT3IrYw,,,,,anonymous,EN,Yes,Firefox,99,Windows NT 10.0,1920x1080,6128fd492700069e594016c9,Some,Basically content,Most of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Disagree,Agree,Agree,Slightly Disagree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Once a week,,,,,,,,,"Employed, working 30 or more hours per week","$100,000 - $149,999",White or Caucasian (Non-Hispanic),Bachelor degree,27,Female,Scam,Real,Scam,Real,Real,Real,Real,Real,Someone claiming to be from the Social Security Administration (but wasn't),No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",arm1_control,6128fd492700069e594016c9
4/19/2022 22:26,4/19/2022 22:33,100,397,TRUE,4/19/2022 22:33,R_1NykWjcykbMHK2q,,,,,anonymous,EN,Yes,Safari iPhone,15.4,iPhone,390x844,610706b1493f49df1066b324,Very little,Frustrated,Never,Government should do more to solve problems.,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,,,,,,,,"Employed, working 30 or more hours per week","$60,000 - $79,999",Asian American or Asian,Bachelor degree,27,Female,Real,Real,Scam,Real,Scam,Real,Real,Scam,Someone claiming to be from the company where you work (but wasn't),No,,Not Sure,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",arm2_generalinfo,610706b1493f49df1066b324
4/19/2022 22:29,4/19/2022 22:36,100,403,TRUE,4/19/2022 22:36,R_PYhxNM6yNQBEPIZ,,,,,anonymous,EN,Yes,Chrome,100.0.4896.127,Windows NT 10.0,1280x720,610826f083939869eff609d4,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Once a week,,,,,,,,,"Employed, working 1-29 hours per week","$20,000 - $39,999",Hispanic,Bachelor degree,24,Female,Scam,Real,Scam,Real,Scam,Scam,Scam,Real,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Often,Often,Often,"Yes, use the responses.",arm3_tips,610826f083939869eff609d4
4/19/2022 22:26,4/19/2022 22:37,100,658,TRUE,4/19/2022 22:37,R_2TLiOV0uQXK5bld,,,,,anonymous,EN,Yes,Chrome,100.0.4896.127,Windows NT 10.0,1920x1080,5f1f886b0d2e6b0008c1f6ec,Quite a lot,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Agree,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Strongly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Once a month,,,,,,,,,"Not employed, looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,35,Female,Real,Real,Scam,Real,Real,Real,Real,Real,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Hardly ever,"Yes, use the responses.",arm2_generalinfo,5f1f886b0d2e6b0008c1f6ec
4/19/2022 22:34,4/19/2022 22:37,100,216,TRUE,4/19/2022 22:37,R_V1EFhytl0IgD6Q9,,,,,anonymous,EN,Yes,Chrome,99.0.4844.84,Windows NT 10.0,1536x864,60430fc782b5752a7ae8d797,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Agree,Slightly Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Once a week,,,,,,,,,"Employed, working 30 or more hours per week","$150,000 or more","White or Caucasian (Non-Hispanic),Asian American or Asian",Graduate or professional degree,40,Female,Real,Real,Scam,Real,Scam,Real,Real,Real,"Someone claiming to be from the Social Security Administration (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",arm2_generalinfo,60430fc782b5752a7ae8d797
4/19/2022 22:33,4/19/2022 22:41,100,477,TRUE,4/19/2022 22:41,R_26l5jXuWk17Ehrb,,,,,anonymous,EN,Yes,Firefox,99,Ubuntu,1600x900,5be8dd56d153f500019ab3cf,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Agree,,Slightly Agree,Agree,Slightly Agree,A few times a year,,,,,,,,,"Employed, working 1-29 hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,57,Female,Scam,Real,Real,Real,Real,Real,Real,Real,"Someone otherwise claiming to be from an organization or group they weren't really from,Other",No,,Yes,No,Hardly ever,Some of the time,Hardly ever,"Yes, use the responses.",arm3_tips,5be8dd56d153f500019ab3cf
4/19/2022 22:32,4/19/2022 22:41,100,561,TRUE,4/19/2022 22:41,R_4PBm4u9g9AImfyV,,,,,anonymous,EN,Yes,Chrome,100.0.4896.88,Windows NT 10.0,1920x1080,611591cd1094c7813fea0311,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Strongly Agree,Agree,Agree,Slightly Agree,Strongly Agree,Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Once a week,Real,Real,Scam,Real,Real,Scam,Real,Scam,"Not employed, NOT looking for work","$80,000 - $99,999",Asian American or Asian,Some college but no degree,19,Male,Real,Real,Scam,Real,Real,Scam,Real,Real,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",arm4_interactive,611591cd1094c7813fea0311
4/19/2022 22:29,4/19/2022 22:46,100,1042,TRUE,4/19/2022 22:46,R_1hZ4QsOVEvhfDwz,,,,,anonymous,EN,Yes,Chrome,100.0.4896.88,Windows NT 6.1,1920x1080,5cb52a1e33f33d0001249130,Some,Basically content,Most of the time,Government should do more to solve problems.,Agree,Slightly Agree,Disagree,Agree,Slightly Agree,Slightly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Neither Agree nor Disagree,Once a month,,,,,,,,,Retired,"$20,000 - $39,999",White or Caucasian (Non-Hispanic),Bachelor degree,69,Male,Real,Real,Scam,Real,Scam,Real,Real,Real,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",arm1_control,5cb52a1e33f33d0001249130
4/19/2022 22:34,4/19/2022 22:48,100,878,TRUE,4/19/2022 22:48,R_3Jl5xhpeJHR97zN,,,,,anonymous,EN,Yes,Firefox,99,Android 9,1242x698,5d9e9204340c7700150ab74c,Quite a lot,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,A few times a year,,,,,,,,,"Employed, working 1-29 hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Associate degree,51,Male,Real,Scam,Scam,Real,Scam,Real,Real,Real,Someone selling fraudulent goods or services,No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",arm1_control,5d9e9204340c7700150ab74c
4/19/2022 22:38,4/19/2022 22:52,100,830,TRUE,4/19/2022 22:52,R_3R7LdPCLOw7y4M2,,,,,anonymous,EN,Yes,Chrome,100.0.4896.127,Windows NT 10.0,961x600,606f9d0acf2ee8be316507c5,Some,Basically content,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Once a week,Real,Real,Scam,Real,Real,Real,Scam,Real,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,57,Female,Scam,Real,Scam,Real,Scam,Scam,Scam,Scam,Someone otherwise claiming to be from an organization or group they weren't really from,No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",arm4_interactive,606f9d0acf2ee8be316507c5
4/19/2022 22:44,4/19/2022 22:54,100,640,TRUE,4/19/2022 22:54,R_3lnsMFnDJgxfO1z,,,,,anonymous,EN,Yes,Firefox,99,Windows NT 10.0,1280x720,6163e1088877e8e7cc2e3a55,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Once a week,,,,,,,,,"Not employed, NOT looking for work","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,31,Female,Scam,Real,Scam,Real,Real,Real,Real,Real,Someone claiming to be from another government agency (but wasn't),No,,No,Not Sure,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",arm2_generalinfo,6163e1088877e8e7cc2e3a55
