,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,GovtConf1_Future,GovtConf2_Feel,GovtConf3_Trust,GovtConf4_Views,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB,incomeAmount,race5,employment3,educYears,ageYears,genderI,ageYearsSq,lIncomeAmount,fraudExperience_SSA,fraudExperience_Govt,fraudExperience_Biz,fraudExperience_YN,fraudLoss_YN,fraudLoss_Amount,reportFraud_YN,GovtConfScore,TrustInSSAScore,TrustInInternetScore,OnlineShoppingScore,LonelyScore,numCorrect,numFakeLabeledReal,numRealLabeledFake,numRealLabeledReal,numFakeLabeledFake,numEmailsCorrect,numWebsitesCorrect,numLettersCorrect,numSMSesCorrect,numCorrect_Govt,numCorrect_Biz,numEmailsCorrect_Govt,numEmailsCorrect_Biz,numWebsitesCorrect_Govt,numWebsitesCorrect_Biz,numLabeledReal,numLabeledFake,numNoAnswer,Correct_WalmartProduct,Correct_RedCross,Correct_SSA_HP,Correct_mySSA,Correct_AmazonDeliveryDelay,Correct_FB_SSA,Correct_ssa_optout,Correct_replacementCard,Correct_medicareReview,Correct_benefitsSuspension,droppedFinalQuestion,percentCorrect,percentCorrect_Email,percentCorrect_Web,percentCorrect_Letter,percentCorrect_Govt,percentCorrect_Biz,percentCorrect_IsScam,percentCorrect_IsReal,percentIncorrect_ActuallyScam,percentIncorrect_ActuallyReal,RevealedTrust
2960,2022-09-12 07:27:00,9/12/2022 7:37,IP Address,100,631,True,9/12/2022 7:37,R_OsaysHUV5OyhPzz,,,,,anonymous,EN,Yes,,,Chrome,105.0.0.0,Windows NT 10.0,1920x1080,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a week / Daily,B676570,arm4_interactive,,B676570,0,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Real,,,True,True,9/12/2022 7:42,9/12/2022 7:43,IP Address,100.0,52.0,True,9/12/2022 7:43,R_1PTyi6sLjnlyPSa,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$150,000 or more",African American or African (Non-Hispanic),Bachelor degree,47.0,Male,True,Scam,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Scam,,,True,True,9/12/2022 7:45,9/12/2022 7:48,IP Address,100.0,177.0,True,9/12/2022 7:48,R_21vJEH49KUdK1uj,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't)",Yes,"3,000",Yes,Yes,Some of the time,Some of the time,Some of the time,"No, the responses shouldn't be used.",True,1,True,4,1.0,4.0,0.0,Keep,False,False,7,True,175.0,B,E,16.0,47.0,0.0,2209.0,5.1647859739235145,True,True,False,True,True,3000.0,1.0,0.625,4.0,3.25,6.0,2.0,5,3,2,3,2,2,2,1,0,3,2,1,1,1,1,6,4,0,False,False,True,False,True,True,False,True,False,True,False,50.0,50.0,50.0,50.0,50.0,50.0,40.0,60.0,60.0,40.0,
2935,2022-09-12 07:27:00,9/12/2022 7:31,IP Address,100,289,True,9/12/2022 7:31,R_1ozIHZta9VDsA4V,,,,,anonymous,EN,Yes,,,Chrome,105.0.0.0,Android 10,412x846,Quite a lot,Angry,Never,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Disagree,Strongly Disagree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,B2948,arm3_tips,,B2948,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,9/12/2022 7:31,9/12/2022 7:33,IP Address,100.0,78.0,True,9/12/2022 7:33,R_2bOX6GAPJcdRRsi,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999",I prefer not to say,"High school degree or equivalent (e.g., GED)",24.0,Female,True,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,9/12/2022 7:37,9/12/2022 7:39,IP Address,100.0,103.0,True,9/12/2022 7:39,R_126elDr9LvKi4ma,,,,,anonymous,EN,"Someone claiming to be from the company where you work (but wasn't),Someone selling fraudulent goods or services",No,,Yes,No,Some of the time,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,2,3.0,2.0,0.0,Keep,False,False,5,True,30.0,O,U,12.0,24.0,1.0,576.0,3.4011973816621555,False,False,True,True,False,0.0,1.0,0.25,4.0,2.25,4.0,1.6666666666666667,6,2,2,3,3,1,4,1,0,3,3,0,1,2,2,5,5,0,True,False,True,True,True,True,False,False,False,True,False,60.0,25.0,100.0,50.0,50.0,75.0,60.0,60.0,40.0,40.0,
2944,2022-09-12 07:28:00,9/12/2022 7:35,IP Address,100,375,True,9/12/2022 7:35,R_3Hjd9nlaNdhmo88,,,,,anonymous,EN,Yes,,,Edge,105.0.1343.33,Windows NT 10.0,1366x768,Quite a lot,Basically content,Most of the time,Government should do more to solve problems.,Slightly Disagree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Slightly Agree,Agree,Agree,Agree,Agree,Agree,Slightly Agree,A few times a year,B561729,arm1_control,,B561729,3,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,9/12/2022 7:35,9/12/2022 7:36,IP Address,100.0,73.0,True,9/12/2022 7:36,R_2dZs8sdzoTkQ1Z4,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,63.0,Male,True,Real,,,Scam,,Details,Real,,,Real,,,Real,,Details,Real,,,Real,,Details,Scam,,,Scam,,,Scam,,,True,True,9/12/2022 7:47,9/12/2022 7:48,IP Address,100.0,103.0,True,9/12/2022 7:48,R_3fH4TQ98jrten1f,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Other",Yes,2000,Yes,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,3,2.0,2.0,0.0,Keep,False,False,7,True,30.0,W,U,18.0,63.0,0.0,3969.0,3.4011973816621555,False,False,True,True,True,2000.0,1.0,0.9166666666666666,5.8,3.125,3.0,1.0,5,3,2,3,2,2,2,1,0,2,3,0,2,1,1,6,4,0,True,True,True,False,True,False,False,False,False,True,False,50.0,50.0,50.0,50.0,33.33333333333333,75.0,40.0,60.0,60.0,40.0,60.0
2931,2022-09-12 07:28:00,9/12/2022 7:31,IP Address,100,199,True,9/12/2022 7:31,R_1E6QKp1nJaIJnPt,,,,,anonymous,EN,Yes,,,Chrome,99.0.4844.88,Android 12,360x800,None at all,Frustrated,Never,Government should do more to solve problems.,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once a month,B914329,arm2_generalinfo,,B914329,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,9/12/2022 7:31,9/12/2022 7:32,IP Address,100.0,50.0,True,9/12/2022 7:32,R_1dAzCiQmYPQWKes,,,,,anonymous,EN,"Disabled, not able to work","$0 - $19,999","White or Caucasian (Non-Hispanic),Hispanic",Some college but no degree,37.0,Female,True,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,9/12/2022 7:34,9/12/2022 7:35,IP Address,100.0,104.0,True,9/12/2022 7:35,R_1M57cnaxFjsLFtn,,,,,anonymous,EN,Other,Yes,"15,000",Not Sure,No,Often,Often,Often,"Yes, use the responses.",True,1,True,1,1.0,2.0,0.0,Keep,False,False,7,True,10.0,H,R,13.0,37.0,1.0,1369.0,2.302585092994046,False,False,False,True,True,15000.0,0.0,0.375,1.0,1.0,4.0,3.0,7,1,2,3,4,3,3,1,0,3,4,1,2,1,2,4,6,0,True,True,True,False,True,True,True,False,False,True,False,70.0,75.0,75.0,50.0,50.0,100.0,80.0,60.0,20.0,40.0,60.0
2942,2022-09-12 07:28:00,9/12/2022 7:34,IP Address,100,394,True,9/12/2022 7:34,R_3QW6XgTfQz28BSI,,,,,anonymous,EN,Yes,,,Safari,14.1.2,Macintosh,1440x900,Quite a lot,Basically content,Most of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Agree,Disagree,Slightly Agree,Agree,Slightly Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,A few times a week / Daily,B205224,arm2_generalinfo,,B205224,1,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,9/12/2022 7:34,9/12/2022 7:36,IP Address,100.0,77.0,True,9/12/2022 7:36,R_3Nx1N7yMEaFBfMY,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,46.0,Female,True,Real,,,Real,,Details,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,9/12/2022 7:38,9/12/2022 7:40,IP Address,100.0,107.0,True,9/12/2022 7:40,R_3R4JRmdRuYyB0BZ,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,Yes,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,3,3.0,3.0,0.0,Keep,False,False,7,True,30.0,W,E,18.0,46.0,1.0,2116.0,3.4011973816621555,False,False,True,True,False,0.0,1.0,0.9166666666666666,4.0,3.0,6.0,1.0,4,4,2,3,1,1,2,1,0,2,2,0,1,1,1,7,3,0,True,False,True,False,True,False,False,False,False,True,False,40.0,25.0,50.0,50.0,33.33333333333333,50.0,20.0,60.0,80.0,40.0,60.0
2925,2022-09-12 07:28:00,9/12/2022 7:30,IP Address,100,109,True,9/12/2022 7:30,R_2tKlNHkcK1hlfLA,,,,,anonymous,EN,Yes,,,Chrome,105.0.5195.79,Android 12,385x854,Very little,Angry,Never,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Never,B267747,arm3_tips,,B267747,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,9/12/2022 7:30,9/12/2022 7:31,IP Address,100.0,44.0,True,9/12/2022 7:31,R_1H8jSRJQyLc8vi5,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,47.0,Female,True,Scam,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,9/12/2022 7:33,9/12/2022 7:34,IP Address,100.0,80.0,True,9/12/2022 7:34,R_114qlxTO0i5FX2g,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"No, the responses shouldn't be used.",True,1,True,1,0.0,1.0,0.0,Keep,False,False,7,True,50.0,W,U,13.0,47.0,1.0,2209.0,3.912023005428146,False,True,True,True,False,0.0,0.0,0.08333333333333333,4.0,4.0,1.0,2.0,6,0,4,1,5,2,3,1,0,4,2,1,1,2,1,1,9,0,False,True,True,True,False,True,True,False,False,True,False,60.0,50.0,75.0,50.0,66.66666666666666,50.0,100.0,20.0,0.0,80.0,
2941,2022-09-12 07:29:00,9/12/2022 7:34,IP Address,100,320,True,9/12/2022 7:34,R_25XCPJfG4HSfVdO,,,,,anonymous,EN,Yes,,,Safari iPhone,15.6.1,iPhone,390x844,Very little,Angry,Never,Government is doing too many things better left to businesses and individuals.,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Strongly Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,A few times a year,B519165,arm2_generalinfo,,B519165,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,9/12/2022 7:34,9/12/2022 7:35,IP Address,100.0,62.0,True,9/12/2022 7:35,R_1Ld7wnbkKICHzLV,,,,,anonymous,EN,Retired,"$60,000 - $79,999",White or Caucasian (Non-Hispanic),Some college but no degree,81.0,Male,True,Real,,,Real,,,Scam,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,9/12/2022 7:39,9/12/2022 7:41,IP Address,100.0,118.0,True,9/12/2022 7:41,R_3NNTAUzvW61bI6Q,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Not Sure,,Yes,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,3,2.0,3.0,0.0,Keep,False,False,7,True,70.0,W,R,13.0,81.0,0.0,6561.0,4.248495242049359,False,False,True,True,False,0.0,1.0,0.08333333333333333,2.0,2.375,3.0,1.0,6,1,3,2,4,2,3,1,0,3,3,1,1,1,2,3,7,0,True,False,False,True,True,True,True,False,False,True,False,60.0,50.0,75.0,50.0,50.0,75.0,80.0,40.0,20.0,60.0,40.0
2963,2022-09-12 07:29:00,9/12/2022 7:37,IP Address,100,527,True,9/12/2022 7:37,R_3pa378rsmjaTdzm,,,,,anonymous,EN,Yes,,,Chrome,105.0.0.0,Android 11,352x781,Very little,Angry,Never,Government should do more to solve problems.,Slightly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Once a month,B348019,arm1_control,,B348019,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,9/12/2022 7:37,9/12/2022 7:39,IP Address,100.0,117.0,True,9/12/2022 7:39,R_7PpLqfCkG1qzR7j,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",White or Caucasian (Non-Hispanic),Some college but no degree,41.0,Female,True,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Real,,,Scam,,,True,True,9/12/2022 7:46,9/12/2022 7:49,IP Address,100.0,141.0,True,9/12/2022 7:49,R_1mE3nVuMakacgB3,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",Yes,650,Yes,No,Often,Often,Often,"Yes, use the responses.",True,1,True,4,4.0,3.0,0.0,Keep,False,False,7,True,10.0,W,E,13.0,41.0,1.0,1681.0,2.302585092994046,False,True,True,True,True,650.0,1.0,0.3333333333333333,7.0,2.0,4.0,3.0,6,3,1,4,2,2,2,2,0,4,2,1,1,1,1,7,3,0,True,False,True,False,True,False,True,False,True,True,False,60.0,50.0,50.0,100.0,66.66666666666666,50.0,40.0,80.0,60.0,20.0,80.0
2943,2022-09-12 07:29:00,9/12/2022 7:34,IP Address,100,335,True,9/12/2022 7:34,R_1QtldTDm7v0spcc,,,,,anonymous,EN,Yes,,,Chrome,105.0.0.0,Windows NT 10.0,1920x1080,Very little,Frustrated,Never,Government is doing too many things better left to businesses and individuals.,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Once a month,B418708,arm3_tips,,B418708,3,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,9/12/2022 7:34,9/12/2022 7:36,IP Address,100.0,77.0,True,9/12/2022 7:36,R_2Xb1Iop9J4A2x1m,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),"High school degree or equivalent (e.g., GED)",58.0,Female,True,Real,,,Real,,Details,Scam,,,Scam,,,Real,,Details,Scam,Click,,Scam,,Details,Scam,,,Scam,,,Scam,,,True,True,9/12/2022 7:40,9/12/2022 7:42,IP Address,100.0,73.0,True,9/12/2022 7:42,R_27wixjranadXB1D,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,3,3.0,1.0,0.0,Keep,False,False,7,True,50.0,W,U,12.0,58.0,1.0,3364.0,3.912023005428146,True,True,True,True,False,0.0,0.0,0.20833333333333331,1.0,1.875,4.0,2.0,6,1,3,2,4,2,3,1,0,3,3,1,1,1,2,3,7,0,True,False,False,True,True,True,True,False,False,True,False,60.0,50.0,75.0,50.0,50.0,75.0,80.0,40.0,20.0,60.0,
2945,2022-09-12 07:30:00,9/12/2022 7:35,IP Address,100,243,True,9/12/2022 7:35,R_3lDla7lvrZ2bSx2,,,,,anonymous,EN,Yes,,,Firefox,104,Macintosh,1344x756,Very little,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Neither Agree nor Disagree,Slightly Agree,Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Strongly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Once a week,B353403,arm1_control,,B353403,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,9/12/2022 7:35,9/12/2022 7:36,IP Address,100.0,88.0,True,9/12/2022 7:36,R_2aVnqWX9QU8qB6N,,,,,anonymous,EN,Retired,"$60,000 - $79,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,66.0,Male,True,Real,,,Real,,,Real,Click,,Real,,,Real,,,Real,,,Scam,,,Scam,,,Scam,,,Scam,,,True,True,9/12/2022 7:44,9/12/2022 7:45,IP Address,100.0,94.0,True,9/12/2022 7:45,R_BDrUHoihkxqKIGl,,,,,anonymous,EN,,,,,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,2,3.0,2.0,0.0,Keep,False,False,7,True,70.0,W,R,18.0,66.0,0.0,4356.0,4.248495242049359,False,False,False,False,False,0.0,,0.16666666666666666,4.2,3.75,5.0,1.0,5,3,2,3,2,2,2,1,0,3,2,1,1,1,1,6,4,0,True,False,True,False,True,False,True,False,False,True,False,50.0,50.0,50.0,50.0,50.0,50.0,40.0,60.0,60.0,40.0,60.0
2946,2022-09-12 07:31:00,9/12/2022 7:35,IP Address,100,222,True,9/12/2022 7:35,R_1dAhnF04Si1H3IV,,,,,anonymous,EN,Yes,,,Chrome iPhone,105.0.5195.100,iPhone,375x667,Some,Angry,Never,Government is doing too many things better left to businesses and individuals.,Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a year,B62399,arm3_tips,,B62399,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,9/12/2022 7:35,9/12/2022 7:36,IP Address,100.0,66.0,True,9/12/2022 7:36,R_55sNCOtu07dfU0F,,,,,anonymous,EN,Retired,"$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,64.0,Female,True,Scam,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,True,True,9/12/2022 7:41,9/12/2022 7:44,IP Address,100.0,134.0,True,9/12/2022 7:44,R_11hnJKXWC1DlhTm,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services,Other",Yes,7000,Yes,Not Sure,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,2,2.0,3.0,0.0,Keep,False,False,6,True,30.0,W,R,13.0,64.0,1.0,4096.0,3.4011973816621555,True,True,True,True,True,7000.0,1.0,0.16666666666666666,4.0,2.0,2.0,1.0,6,3,1,4,2,3,1,2,0,5,1,2,1,1,0,7,3,0,False,False,True,False,True,False,True,True,True,True,False,60.0,75.0,25.0,100.0,83.33333333333334,25.0,40.0,80.0,60.0,20.0,
2939,2022-09-12 07:31:00,9/12/2022 7:33,IP Address,100,101,True,9/12/2022 7:33,R_3JlAwZ5M39OLqVs,,,,,anonymous,EN,Yes,,,Chrome,104.0.0.0,Android 9,360x640,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,B464577,arm1_control,,B464577,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,9/12/2022 7:33,9/12/2022 7:33,IP Address,100.0,24.0,True,9/12/2022 7:33,R_pa6bqUY7U3x8qBP,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",African American or African (Non-Hispanic),Associate degree,27.0,Female,True,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,True,True,9/12/2022 7:35,9/12/2022 7:36,IP Address,100.0,54.0,True,9/12/2022 7:36,R_p6NMm9nSGEr3RU5,,,,,anonymous,EN,,,,,No,Some of the time,Some of the time,Hardly ever,"Yes, use the responses.",True,1,True,0,0.0,0.0,0.0,Keep,False,False,7,True,30.0,B,E,14.0,27.0,1.0,729.0,3.4011973816621555,False,False,False,False,False,0.0,,0.625,3.7,2.75,4.0,1.6666666666666667,6,3,1,4,2,3,2,1,0,4,2,2,1,1,1,7,3,0,True,False,True,False,True,False,True,True,False,True,False,60.0,75.0,50.0,50.0,66.66666666666666,50.0,40.0,80.0,60.0,20.0,80.0
