,StartDate,EndDate,Status,Progress,duration_p1,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Consent_BBB,Consent_Prolific,ParticipantID,Metainfo_Browser,Metainfo_Version,Metainfo_Operating System,Metainfo_Resolution,govt_trust_1,govt_trust_2,govt_trust_3,govt_trust_4,internet_trust_1,internet_trust_2,internet_trust_3,internet_trust_4,internet_trust_5,internet_trust_6,internet_trust_7,internet_trust_8,ssa_trust_1,ssa_trust_2,ssa_trust_3,ssa_trust_4,ssa_trust_5,ssa_trust_6,ssa_trust_7,ssa_trust_8,ssa_trust_9,ssa_trust_10,OnlineShopping,BID,surveyArm,PROLIFIC_PID,PID,NumWithHeadersOpened,NumWithLinksClicked,ProtectYourself,ProtectYourself_Clicked,ProtectYourself_Details,AmazonHP,AmazonHP_Clicked,AmazonHP_Details,email_IRS,email_IRS_Clicked,email_IRS_Details,web_IRS,web_IRS_Clicked,web_IRS_Details,apple,apple_Clicked,apple_Details,amazon_Product,amazon_Product_Clicked,amazon_Product_Details,email_mcafee,email_mcafee_Clicked,email_mcafee_Details,GetProtected,GetProtected_Clicked,GetProtected_Details,ExistInMongo_Training,MongoTraining_Complete,StartDate_p2,EndDate_p2,Status_p2,Progress_p2,duration_p2,Finished_p2,RecordedDate_p2,ResponseId_p2,RecipientLastName_p2,RecipientFirstName_p2,RecipientEmail_p2,ExternalReference_p2,DistributionChannel_p2,UserLanguage_p2,Employment,TotalIncome,Race,Education,Age_1,Gender,ExistInPart2,RedCross,RedCross_Clicked,RedCross_Details,SSA_HP,SSA_HP_Clicked,SSA_HP_Details,mySSA,mySSA_Clicked,mySSA_Details,AmazonDeliveryDelay,AmazonDeliveryDelay_Clicked,AmazonDeliveryDelay_Details,FB_SSA,FB_SSA_Clicked,FB_SSA_Details,ssa_optout,ssa_optout_Clicked,ssa_optout_Details,WalmartProduct,WalmartProduct_Clicked,WalmartProduct_Details,medicareReview,medicareReview_Clicked,medicareReview_Details,replacementCard,replacementCard_Clicked,replacementCard_Details,benefitsSuspension,benefitsSuspension_Clicked,benefitsSuspension_Details,ExistInMongo_Test,MongoTest_Complete,StartDate_p3,EndDate_p3,Status_p3,Progress_p3,duration_p3,Finished_p3,RecordedDate_p3,ResponseId_p3,RecipientLastName_p3,RecipientFirstName_p3,RecipientEmail_p3,ExternalReference_p3,DistributionChannel_p3,UserLanguage_p3,previousFraud,lose_money,amount_lost,report_loss,CyberTraining,Lonely1,Lonely2,Lonely3,KeepResponse,ExistInPart3,Wave,IsPrimaryWave,previousFraudYN,lose_moneyYN,duration_p1_Quantile,duration_p2_Quantile,duration_p3_Quantile,daysFromTrainingToTest,cleanStatus,DuplicatedPID,DuplicatedCleanPID,PID_Length,IsBBB
11,2022-07-26 10:03:00,7/26/2022 10:07,IP Address,100,231,True,7/26/2022 10:07,R_3KpVRNs4V7CudyJ,,,,,anonymous,EN,,Yes,,Safari iPhone,15.5,iPhone,414x896,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Once a month,,arm4_interactive,60fed38a8adb46e44e0869a5,60fed38a8adb46e44e0869a5,4,1,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,7/26/2022 10:10,7/26/2022 10:10,IP Address,100.0,32.0,True,7/26/2022 10:10,R_2TttUhDH0wOzURL,,,,,anonymous,EN,"Not employed, looking for work","$20,000 - $39,999","White or Caucasian (Non-Hispanic),Native American, Native Hawaiian or Pacific Islander",Associate degree,26.0,Female,True,Scam,,Details,Real,,,Real,Click,,Real,,Details,Real,,,Real,,Details,Scam,,,Real,,,Real,,Details,,,,True,False,7/26/2022 10:13,7/26/2022 10:14,IP Address,100.0,59.0,True,7/26/2022 10:14,R_1i2IWaJzlV0Ynhq,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,2,1.0,2.0,0.0,Test Results are Incomplete,False,,24,False
10,2022-07-26 10:04:00,7/26/2022 10:07,IP Address,100,127,True,7/26/2022 10:07,R_6YFS6YI539p5DdT,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,None at all,Angry,Never,Government should do more to solve problems.,Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Once a month,,arm4_interactive,5ceac8abb5a9d90001c07ec0,5ceac8abb5a9d90001c07ec0,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,7/26/2022 10:10,7/26/2022 10:11,IP Address,100.0,23.0,True,7/26/2022 10:11,R_1IbzXXS9SZxBvNu,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$20,000 - $39,999",Hispanic,Bachelor degree,31.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Scam,,,Scam,,,Scam,,Details,Scam,,,True,True,7/26/2022 10:14,7/26/2022 10:16,IP Address,100.0,88.0,True,7/26/2022 10:16,R_2rwpekcrz4RcDNX,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,0,0.0,3.0,0.0,Keep,False,False,24,False
12,2022-07-26 10:07:00,7/26/2022 10:08,IP Address,100,94,True,7/26/2022 10:08,R_D8ivZPO0Nn7Hpnj,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 9,800x1280,None at all,Angry,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Strongly Agree,Slightly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Once a week,,arm1_control,628664ed4a596091ae9a6575,628664ed4a596091ae9a6575,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:08,7/26/2022 10:09,IP Address,100.0,20.0,True,7/26/2022 10:09,R_3MSXiFj4bPRzGGX,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999",Hispanic,Bachelor degree,24.0,Female,True,Scam,,,Real,,,Real,,,Scam,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Scam,,,True,True,7/26/2022 10:11,7/26/2022 10:11,IP Address,100.0,40.0,True,7/26/2022 10:11,R_1ojXmQK599je769,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,0.0,0.0,0.0,Too Fast,False,,24,False
13,2022-07-26 10:07:00,7/26/2022 10:09,IP Address,100,102,True,7/26/2022 10:09,R_3I0mWrXXhJzpDNF,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Once a month,,arm1_control,60fdeae64720933d1347ac81,60fdeae64720933d1347ac81,0,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:09,7/26/2022 10:09,IP Address,100.0,29.0,True,7/26/2022 10:09,R_WfCTJKu4t6NfZPr,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$150,000 or more",White or Caucasian (Non-Hispanic),Some college but no degree,21.0,Male,True,Real,,,Real,Click,,Real,,,Real,,,Scam,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 10:10,7/26/2022 10:11,IP Address,100.0,38.0,True,7/26/2022 10:11,R_2wNxvhkEP6QniZ8,,,,,anonymous,EN,,,,,No,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,False,False,0,0.0,0.0,0.0,Too Fast,False,,24,False
14,2022-07-26 10:08:00,7/26/2022 10:12,IP Address,100,269,True,7/26/2022 10:12,R_2Wvs5cdVjKkOBS0,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1536x864,Very little,Angry,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Slightly Disagree,Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Strongly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Once a week,,arm4_interactive,61088bfc77f5657c993c2434,61088bfc77f5657c993c2434,4,0,Real,,Details,Real,,,Scam,,Details,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,7/26/2022 10:18,7/26/2022 10:18,IP Address,100.0,27.0,True,7/26/2022 10:18,R_1qfzCb8K1K0G5PW,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",Asian American or Asian,Bachelor degree,22.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,True,True,7/26/2022 10:21,7/26/2022 10:22,IP Address,100.0,58.0,True,7/26/2022 10:22,R_5AUkVV5LcN7fgRj,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Other",No,,No,Yes,Hardly ever,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,3,0.0,2.0,0.0,Keep,False,False,24,False
18,2022-07-26 10:11:00,7/26/2022 10:16,IP Address,100,295,True,7/26/2022 10:16,R_1mOgvfJ0tAh02uf,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1920x1080,Some,Basically content,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,A few times a year,,arm4_interactive,60e6a16e78554362aa29b908,60e6a16e78554362aa29b908,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Scam,,,Scam,,Details,Real,,,True,True,7/26/2022 10:21,7/26/2022 10:22,IP Address,100.0,44.0,True,7/26/2022 10:22,R_1LLuDfzP0wpMwnS,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",Asian American or Asian,Bachelor degree,36.0,Male,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Real,,,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,True,True,7/26/2022 10:24,7/26/2022 10:25,IP Address,100.0,64.0,True,7/26/2022 10:25,R_3qpq8dzFuH43fuB,,,,,anonymous,EN,Other,No,,No,Yes,Often,Often,Often,"Yes, use the responses.",True,1,True,True,False,3,2.0,2.0,0.0,Keep,False,False,24,False
19,2022-07-26 10:12:00,7/26/2022 10:17,IP Address,100,281,True,7/26/2022 10:17,R_1HiUtIccs2mTV60,,,,,anonymous,EN,,Yes,,Firefox,102,Macintosh,1440x900,Very little,Frustrated,Never,Government should do more to solve problems.,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Slightly Agree,Neither Agree nor Disagree,,Neither Agree nor Disagree,Slightly Agree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Disagree,Once a week,,arm4_interactive,5de6bcd545971063d3ff95db,5de6bcd545971063d3ff95db,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Scam,,,Real,,,True,True,7/26/2022 10:21,7/26/2022 10:21,IP Address,100.0,25.0,True,7/26/2022 10:21,R_3Dql3HFlE27lsyA,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$60,000 - $79,999",White or Caucasian (Non-Hispanic),Bachelor degree,53.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Scam,,,Real,,Details,,,,True,False,7/26/2022 10:26,7/26/2022 10:27,IP Address,100.0,44.0,True,7/26/2022 10:27,R_3oAOepKoLS9kppr,,,,,anonymous,EN,"Someone claiming to be from the Social Security Administration (but wasn't),Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from",No,,No,Yes,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,3,0.0,1.0,0.0,Test Results are Incomplete,False,,24,False
16,2022-07-26 10:12:00,7/26/2022 10:16,IP Address,100,207,True,7/26/2022 10:16,R_2tyQRDlZIMa1JHL,,,,,anonymous,EN,,Yes,,Edge,103.0.1264.71,Windows NT 10.0,1600x900,Some,Frustrated,Most of the time,Government should do more to solve problems.,Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Slightly Agree,Once a month,,arm1_control,5f09f9a38bf3690ea1c20c96,5f09f9a38bf3690ea1c20c96,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:16,7/26/2022 10:17,IP Address,100.0,51.0,True,7/26/2022 10:17,R_3dF97mud3ylwTxh,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Some college but no degree,54.0,Female,True,Real,,Details,Real,,,Real,,,Real,,Details,Real,,,Real,,Details,Real,,,Scam,,,Real,,Details,Scam,,,True,True,7/26/2022 10:20,7/26/2022 10:21,IP Address,100.0,62.0,True,7/26/2022 10:21,R_3ltPxBbcqT8WoFW,,,,,anonymous,EN,Other,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,2,3.0,2.0,0.0,Keep,False,False,24,False
15,2022-07-26 10:12:00,7/26/2022 10:14,IP Address,100,121,True,7/26/2022 10:14,R_1E1eVKIpT3zDGR6,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Macintosh,1440x900,Very little,Angry,Only some of the time,Government should do more to solve problems.,Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Slightly Agree,A few times a week / Daily,,arm1_control,6117ba4fd05245c3cc387782,6117ba4fd05245c3cc387782,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:14,7/26/2022 10:15,IP Address,100.0,22.0,True,7/26/2022 10:15,R_9QQrNQpPqciRQYN,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$0 - $19,999",Hispanic,Associate degree,21.0,Female,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,False,1,True,False,False,0,0.0,,,No Test Results,False,,24,False
17,2022-07-26 10:14:00,7/26/2022 10:16,IP Address,100,103,True,7/26/2022 10:16,R_2wH9iPUaeSAIVop,,,,,anonymous,EN,,Yes,,Safari,15.5,Macintosh,1024x1366,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Agree,Strongly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Neither Agree nor Disagree,Slightly Agree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Slightly Agree,Once a month,,arm4_interactive,60fe144e2343f4683d037e1f,60fe144e2343f4683d037e1f,0,0,Real,,,Real,,,Scam,,,Real,,,Scam,,,Real,,,Real,,Details,Real,,Details,True,True,7/26/2022 10:19,7/26/2022 10:19,IP Address,100.0,22.0,True,7/26/2022 10:19,R_24PqKeBLU6AQzlV,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Bachelor degree,25.0,Female,True,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Real,,,,,,True,False,7/26/2022 10:21,7/26/2022 10:22,IP Address,100.0,36.0,True,7/26/2022 10:22,R_0AgLdqDAa756xWN,,,,,anonymous,EN,Someone selling fraudulent goods or services,No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,0,0.0,0.0,0.0,Too Fast,False,,24,False
20,2022-07-26 10:15:00,7/26/2022 10:17,IP Address,100,124,True,7/26/2022 10:17,R_1K7pz2NUIYtNRqh,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 11,412x877,Very little,Frustrated,Only some of the time,Government should do more to solve problems.,Disagree,Disagree,Disagree,Slightly Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Slightly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Once a month,,arm1_control,55884984fdf99b4021921e67,55884984fdf99b4021921e67,4,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:17,7/26/2022 10:18,IP Address,100.0,45.0,True,7/26/2022 10:18,R_1OxDijWnaV6ibnw,,,,,anonymous,EN,"Not employed, NOT looking for work","$40,000 - $59,999",White or Caucasian (Non-Hispanic),Associate degree,30.0,Female,True,Real,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,Scam,,,Real,,Details,Scam,,,True,True,7/26/2022 10:20,7/26/2022 10:20,IP Address,100.0,37.0,True,7/26/2022 10:20,R_2TmHmpcktor4rpH,,,,,anonymous,EN,"Someone claiming to be from another government agency (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,0,2.0,0.0,0.0,Keep,False,False,24,False
21,2022-07-26 10:17:00,7/26/2022 10:19,IP Address,100,171,True,7/26/2022 10:19,R_2Cso3HJT4eph5Lm,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Android 11,385x854,Some,Frustrated,Only some of the time,Government should do more to solve problems.,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Agree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Disagree,Once a week,,arm4_interactive,61719bfec06e3136189edb55,61719bfec06e3136189edb55,4,1,Real,,Details,Real,,,Scam,,Details,Real,Click,,Real,,,Scam,,,Real,,Details,Real,,Details,True,True,7/26/2022 10:24,7/26/2022 10:25,IP Address,100.0,55.0,True,7/26/2022 10:25,R_12Ecp0r3d5IMFNM,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Some college but no degree,38.0,Male,True,Scam,,Details,Real,Click,,Scam,,,Real,,Details,Scam,,,Real,,Details,Real,,,Real,,,Real,,Details,Scam,,,True,True,7/26/2022 10:27,7/26/2022 10:28,IP Address,100.0,58.0,True,7/26/2022 10:28,R_pQrSQJCQNg5fx7P,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone claiming to be from another government agency (but wasn't),Someone claiming to be from the company where you work (but wasn't),Someone selling fraudulent goods or services",No,,Yes,No,Some of the time,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,True,False,1,3.0,2.0,0.0,Keep,False,False,24,False
22,2022-07-26 10:18:00,7/26/2022 10:21,IP Address,100,155,True,7/26/2022 10:21,R_1rwQVBTEYXHe7O2,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1280x720,None at all,Angry,Only some of the time,Government should do more to solve problems.,Slightly Disagree,Disagree,Disagree,Neither Agree nor Disagree,Slightly Agree,Agree,Strongly Agree,Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Disagree,Agree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Slightly Disagree,Disagree,A few times a week / Daily,,arm1_control,55a2fa33fdf99b073cd94947,55a2fa33fdf99b073cd94947,4,1,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:21,7/26/2022 10:22,IP Address,100.0,41.0,True,7/26/2022 10:22,R_O1nXaYSEJuiOK2Z,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$100,000 - $149,999","White or Caucasian (Non-Hispanic),Asian American or Asian",,42.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,Click,,Scam,,Details,Real,,,Real,,,Real,,Details,Scam,,,True,True,7/26/2022 10:29,7/26/2022 10:30,IP Address,100.0,65.0,True,7/26/2022 10:30,R_1Gytlgo61coo6zh,,,,,anonymous,EN,"Someone claiming to be from the IRS (but wasn't),Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Hardly ever,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,1,2.0,2.0,0.0,Keep,False,False,24,False
23,2022-07-26 10:18:00,7/26/2022 10:23,IP Address,100,273,True,7/26/2022 10:23,R_DOEBNqZuQjN8RtT,,,,,anonymous,EN,,Yes,,Opera,89.0.4447.48,Windows NT 10.0,1536x864,Quite a lot,Basically content,Most of the time,Government should do more to solve problems.,Strongly Agree,Agree,Agree,Agree,Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Agree,Slightly Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Agree,Once a month,,arm4_interactive,60c6b4ac3397cc95663dc43c,60c6b4ac3397cc95663dc43c,4,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,Details,Scam,,Details,True,True,7/26/2022 10:27,7/26/2022 10:28,IP Address,100.0,41.0,True,7/26/2022 10:28,R_3fI3ZdAQrxJu6z0,,,,,anonymous,EN,"Not employed, NOT looking for work","$20,000 - $39,999",White or Caucasian (Non-Hispanic),Graduate or professional degree,39.0,Female,True,Scam,,Details,Real,,,Scam,,,Real,,Details,Scam,,,Scam,,Details,Real,,,Real,,,Real,,Details,Scam,,,True,True,7/26/2022 10:32,7/26/2022 10:34,IP Address,100.0,103.0,True,7/26/2022 10:34,R_3MmJekmCDikpBe1,,,,,anonymous,EN,,,,,Yes,Often,Some of the time,Some of the time,"Yes, use the responses.",True,1,True,False,False,3,2.0,4.0,0.0,Keep,False,False,24,False
32,2022-07-26 10:19:00,7/26/2022 10:28,IP Address,100,555,True,7/26/2022 10:28,R_1H5iHIb45xRnAI1,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1600x900,Some,Frustrated,Only some of the time,Government is doing too many things better left to businesses and individuals.,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Disagree,Slightly Agree,Agree,Agree,Strongly Agree,Slightly Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Slightly Agree,A few times a week / Daily,,arm4_interactive,627e806c3aed88dec8b99815,627e806c3aed88dec8b99815,0,0,Real,,,Real,,,Scam,,,Real,,,Real,,,Real,,,Real,,,Scam,,,True,True,7/26/2022 10:32,7/26/2022 10:33,IP Address,100.0,37.0,True,7/26/2022 10:33,R_XIeXM68VEIbH6gN,,,,,anonymous,EN,"Employed, working 30 or more hours per week","$80,000 - $99,999",White or Caucasian (Non-Hispanic),Associate degree,53.0,Male,True,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Real,,,Scam,,,Real,,,Scam,,,True,True,7/26/2022 10:35,7/26/2022 10:37,IP Address,100.0,132.0,True,7/26/2022 10:37,R_xob8bPxtZuDrdzX,,,,,anonymous,EN,Someone claiming to be from the IRS (but wasn't),No,,No,No,Some of the time,Hardly ever,Hardly ever,"Yes, use the responses.",True,1,True,True,False,4,2.0,4.0,0.0,Keep,False,False,24,False
24,2022-07-26 10:20:00,7/26/2022 10:24,IP Address,100,243,True,7/26/2022 10:24,R_sNeeXROAZ70VdE5,,,,,anonymous,EN,,Yes,,Chrome,103.0.0.0,Windows NT 10.0,1366x768,None at all,Angry,Never,Government should do more to solve problems.,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Strongly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Neither Agree nor Disagree,Slightly Disagree,Slightly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Once a week,,arm1_control,5e710a6e93f2d201e2715cc0,5e710a6e93f2d201e2715cc0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,False,False,7/26/2022 10:24,7/26/2022 10:25,IP Address,100.0,47.0,True,7/26/2022 10:25,R_2WY9SBdfqP5pV5z,,,,,anonymous,EN,"Employed, working 1-29 hours per week","$0 - $19,999","White or Caucasian (Non-Hispanic),African American or African (Non-Hispanic)",Some college but no degree,21.0,Female,True,Real,,,Real,,,Scam,,,Real,,,Scam,,,Scam,,,Real,,,Scam,,,Scam,,,Scam,,,True,True,7/26/2022 10:28,7/26/2022 10:29,IP Address,100.0,70.0,True,7/26/2022 10:29,R_2CVPGMH2GgUynq6,,,,,anonymous,EN,"Someone otherwise claiming to be from an organization or group they weren't really from,Someone selling fraudulent goods or services",No,,No,No,Some of the time,Often,Often,"Yes, use the responses.",True,1,True,True,False,2,3.0,3.0,0.0,Keep,False,False,24,False
